"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 09 08:10:14 GMT 2024","Tue Jan 09 08:10:31 GMT 2024","17300","Surefire suite","Surefire test","khademStore.testCases.ItemRecievedRecordTest","khademStore.testCases.ItemRecievedRecordTest","items_Received_Record_Valid_Test"," item Received Record Valid Test",""
"passed","Thu Feb 01 12:20:25 GMT 2024","Thu Feb 01 12:20:38 GMT 2024","12972","Default Suite","KhademStoreProject -","khademStore.testCases.RestPagesTest","khademStore.testCases.RestPagesTest","openSettingPage","openSettingPage",""
"passed","Tue Dec 26 12:53:40 GMT 2023","Tue Dec 26 12:53:59 GMT 2023","19144","Surefire suite","Surefire test","khademStore.testCases.ItemRecievedRecordTest","khademStore.testCases.ItemRecievedRecordTest","item_Received_Record__Test_ForOneItem"," item_Received_Record__Test",""
"passed","Tue Jan 09 08:12:59 GMT 2024","Tue Jan 09 08:13:06 GMT 2024","7713","Surefire suite","Surefire test","khademStore.testCases.RestPagesTest","khademStore.testCases.RestPagesTest","banksPageValidTest","banksPageValidTest",""
"passed","Tue Feb 06 13:36:09 GMT 2024","Tue Feb 06 13:36:27 GMT 2024","18289","Default Suite","KhademStoreProject -","khademStore.testCases.ItemsPageTest","khademStore.testCases.ItemsPageTest","items_Added__Test","Make a New  Item ",""
"passed","Tue Jan 09 08:13:08 GMT 2024","Tue Jan 09 08:13:16 GMT 2024","8118","Surefire suite","Surefire test","khademStore.testCases.RestPagesTest","khademStore.testCases.RestPagesTest","lkCategoryPageValidTest","lkCategoryPageValidTest",""
"passed","Thu Feb 01 12:23:21 GMT 2024","Thu Feb 01 12:23:34 GMT 2024","13130","Default Suite","KhademStoreProject -","khademStore.testCases.RestPagesTest","khademStore.testCases.RestPagesTest","storesPageTest","storesPageTest",""
"passed","Thu Feb 01 12:20:40 GMT 2024","Thu Feb 01 12:20:55 GMT 2024","14238","Default Suite","KhademStoreProject -","khademStore.testCases.RestPagesTest","khademStore.testCases.RestPagesTest","citiesPageTest","citiesPageTest",""
"broken","Mon Feb 19 08:48:14 GMT 2024","Mon Feb 19 08:49:15 GMT 2024","61034","Default Suite","KhademStoreProject -","khademStore.testCases.RestPagesTest","khademStore.testCases.RestPagesTest","receivedRecordReportTest","receivedRecordReportTest",""
"passed","Thu Feb 01 12:23:51 GMT 2024","Thu Feb 01 12:24:03 GMT 2024","11770","Default Suite","KhademStoreProject -","khademStore.testCases.RestPagesTest","khademStore.testCases.RestPagesTest","classificationsPageTest","classificationsPageTest",""
"passed","Thu Feb 01 12:31:47 GMT 2024","Thu Feb 01 12:32:01 GMT 2024","13551","Default Suite","KhademStoreProject -","khademStore.testCases.ItemRecievedRecordTest","khademStore.testCases.ItemRecievedRecordTest","Delete_Record__Test","Delete record  test ",""
"passed","Thu Feb 01 12:27:45 GMT 2024","Thu Feb 01 12:27:58 GMT 2024","12467","Default Suite","KhademStoreProject -","khademStore.testCases.RestPagesTest","khademStore.testCases.RestPagesTest","unitsPageTest","unitsPageTest",""
"passed","Thu Feb 01 12:22:47 GMT 2024","Thu Feb 01 12:23:02 GMT 2024","14559","Default Suite","KhademStoreProject -","khademStore.testCases.RestPagesTest","khademStore.testCases.RestPagesTest","departmentPageTest","departmentPageTest",""
"passed","Tue Jan 09 08:10:00 GMT 2024","Tue Jan 09 08:10:11 GMT 2024","11459","Surefire suite","Surefire test","khademStore.testCases.ItemRecievedRecordTest","khademStore.testCases.ItemRecievedRecordTest","search_Feature_Valid_Test","Search Feature Valid Test",""
"passed","Tue Jan 09 08:11:12 GMT 2024","Tue Jan 09 08:11:26 GMT 2024","13852","Surefire suite","Surefire test","khademStore.testCases.ItemRecievedRecordTest","khademStore.testCases.ItemRecievedRecordTest","Delete_Record_valid_Test","Delete record valid test ",""
"passed","Tue Jan 09 08:14:04 GMT 2024","Tue Jan 09 08:14:11 GMT 2024","7565","Surefire suite","Surefire test","khademStore.testCases.RestPagesTest","khademStore.testCases.RestPagesTest","storesCuratorPageValidTest","storesCuratorPageValidTest",""
"passed","Mon Jan 01 12:16:39 GMT 2024","Mon Jan 01 12:16:58 GMT 2024","19576","Default Suite","KhademStoreProject -","khademStore.testCases.ItemRecievedRecordTest","khademStore.testCases.ItemRecievedRecordTest","itemsReceivedRecordValidTest"," item_Received_Record_Valid_Test",""
"broken","Thu Jan 04 09:46:24 GMT 2024","Thu Jan 04 09:46:26 GMT 2024","2579","Default Suite","KhademStoreProject -","khademStore.testCases.RestPagesTest","khademStore.testCases.RestPagesTest","pagesValidTest","pagesValidTest",""
"passed","Thu Feb 01 12:31:03 GMT 2024","Thu Feb 01 12:31:22 GMT 2024","18879","Default Suite","KhademStoreProject -","khademStore.testCases.ItemRecievedRecordTest","khademStore.testCases.ItemRecievedRecordTest","Edit_Record__Test","Edit record  test ",""
"broken","Tue Jan 09 08:13:38 GMT 2024","Tue Jan 09 08:13:43 GMT 2024","5056","Surefire suite","Surefire test","khademStore.testCases.RestPagesTest","khademStore.testCases.RestPagesTest","managementPageValidTest","managementPageValidTest",""
"passed","Tue Jan 09 08:13:28 GMT 2024","Tue Jan 09 08:13:36 GMT 2024","8552","Surefire suite","Surefire test","khademStore.testCases.RestPagesTest","khademStore.testCases.RestPagesTest","suppliersPageValidTest","suppliersPageValidTest",""
"passed","Mon Dec 25 12:32:22 GMT 2023","Mon Dec 25 12:32:34 GMT 2023","11486","Surefire suite","Surefire test","khademStore.testCases.AaTest","khademStore.testCases.AaTest","items_Added__Test","Make a New  Item ",""
"passed","Tue Jan 09 08:14:13 GMT 2024","Tue Jan 09 08:14:21 GMT 2024","7611","Surefire suite","Surefire test","khademStore.testCases.RestPagesTest","khademStore.testCases.RestPagesTest","classificationsPageValidTest","classificationsPageValidTest",""
"broken","Tue Feb 20 13:31:39 GMT 2024","Tue Feb 20 13:31:39 GMT 2024","5","Surefire suite","Surefire test","khademStore.testCases.TestForTest","khademStore.testCases.TestForTest","openSettingPage","openSettingPage",""
"broken","Thu Jan 11 09:19:14 GMT 2024","Thu Jan 11 09:19:14 GMT 2024","2","Default Suite","KhademStoreProject -","khademStore.testCases.ItemRecievedRecordTest","khademStore.testCases.ItemRecievedRecordTest","tearDown","tearDown",""
"passed","Mon Jan 08 15:33:00 GMT 2024","Mon Jan 08 15:33:15 GMT 2024","15598","Surefire suite","Surefire test","khademStore.testCases.ItemsPageTest","khademStore.testCases.ItemsPageTest","Edit_Button_Valid_Test","Click on edit button ",""
"passed","Thu Jan 04 11:44:14 GMT 2024","Thu Jan 04 11:44:23 GMT 2024","9472","Default Suite","KhademStoreProject -","khademStore.testCases.ItemRecievedRecordTest","khademStore.testCases.ItemRecievedRecordTest","item_Received_Record_Valid_Test_ForMultipleItem"," item Received Record for Multiple items",""
"passed","Thu Feb 01 12:23:04 GMT 2024","Thu Feb 01 12:23:19 GMT 2024","14456","Default Suite","KhademStoreProject -","khademStore.testCases.RestPagesTest","khademStore.testCases.RestPagesTest","employeesPageTest","employeesPageTest",""
"passed","Thu Feb 01 12:22:15 GMT 2024","Thu Feb 01 12:22:28 GMT 2024","12959","Default Suite","KhademStoreProject -","khademStore.testCases.RestPagesTest","khademStore.testCases.RestPagesTest","supplierWorkAreaPageTest","supplierWorkAreaPageTest",""
"passed","Thu Feb 01 12:31:24 GMT 2024","Thu Feb 01 12:31:45 GMT 2024","21079","Default Suite","KhademStoreProject -","khademStore.testCases.ItemRecievedRecordTest","khademStore.testCases.ItemRecievedRecordTest","copy_The_Record__Test","Copy the record  test ",""
"passed","Tue Jan 09 08:12:40 GMT 2024","Tue Jan 09 08:12:48 GMT 2024","7883","Surefire suite","Surefire test","khademStore.testCases.RestPagesTest","khademStore.testCases.RestPagesTest","citiesPageValidTest","citiesPageValidTest",""
"broken","Thu Jan 04 12:12:49 GMT 2024","Thu Jan 04 12:12:51 GMT 2024","1719","Default Suite","KhademStoreProject -","khademStore.testCases.ItemsPageTest","khademStore.testCases.ItemsPageTest","delete_Item_Has_Record","Delete item has record",""
"passed","Thu Feb 01 12:24:05 GMT 2024","Thu Feb 01 12:24:17 GMT 2024","11898","Default Suite","KhademStoreProject -","khademStore.testCases.RestPagesTest","khademStore.testCases.RestPagesTest","financialYearPageTest","financialYearPageTest",""
"passed","Thu Feb 01 12:28:49 GMT 2024","Thu Feb 01 12:29:03 GMT 2024","13767","Default Suite","KhademStoreProject -","khademStore.testCases.ItemsPageTest","khademStore.testCases.ItemsPageTest","search__Test"," search without Filters",""
"broken","Mon Feb 19 08:49:15 GMT 2024","Mon Feb 19 08:49:15 GMT 2024","0","Default Suite","KhademStoreProject -","khademStore.testCases.RestPagesTest","khademStore.testCases.RestPagesTest","tearDown","tearDown",""
"passed","Tue Jan 09 08:12:50 GMT 2024","Tue Jan 09 08:12:57 GMT 2024","6932","Surefire suite","Surefire test","khademStore.testCases.RestPagesTest","khademStore.testCases.RestPagesTest","unitsPageValidTest","unitsPageValidTest",""
"passed","Thu Feb 01 12:21:59 GMT 2024","Thu Feb 01 12:22:13 GMT 2024","13884","Default Suite","KhademStoreProject -","khademStore.testCases.RestPagesTest","khademStore.testCases.RestPagesTest","lkCategoryPageTest","lkCategoryPageTest",""
"passed","Mon Feb 19 12:50:22 GMT 2024","Mon Feb 19 12:50:52 GMT 2024","30045","Default Suite","KhademStoreProject -","khademStore.testCases.ItemsPageTest","khademStore.testCases.ItemsPageTest","Edit_Items__Test","Click on edit button ",""
"passed","Thu Feb 01 12:21:43 GMT 2024","Thu Feb 01 12:21:57 GMT 2024","13830","Default Suite","KhademStoreProject -","khademStore.testCases.RestPagesTest","khademStore.testCases.RestPagesTest","banksPageTest","banksPageTest",""
